Dataset,Task,Metric,Activation,Avg_Score,Max_Score,Min_Score,Epochs_As_Best,Overall_Winner,Leader_Changes
gaussian,Regression,R2,ReLU6,0.8960375952720642,0.9155493974685669,-0.17257225513458252,5,XER,18
gaussian,Regression,R2,Sw,-0.058736932516098024,-3.0040740966796875e-05,-6.930935382843018,0,XER,18
gaussian,Regression,R2,LgS,0.8240263310670852,0.9131219983100891,-1.535125494003296,0,XER,18
gaussian,Regression,R2,Si,0.6249803174734115,0.9126988649368286,-1.7356905937194824,0,XER,18
gaussian,Regression,R2,Mish,0.8989215990304947,0.9139692783355713,-0.08818912506103516,74,XER,18
gaussian,Regression,R2,U,-0.026395889282226564,0.782720685005188,-1.827293872833252,0,XER,18
sigmoid,Regression,R2,E,0.9372787489891052,0.9511017203330994,-0.857498288154602,0,XER,26
sigmoid,Regression,R2,XER,0.9371414386034012,0.9524690508842468,-1.2294659614562988,456,XER,26
sigmoid,Regression,R2,R,0.9272133338451386,0.952037513256073,-0.10307109355926514,0,XER,26
sigmoid,Regression,R2,LR,0.8973143280744552,0.9520270824432373,-2.2786648273468018,0,XER,26
sigmoid,Regression,R2,PR,0.9100153638124466,0.9514505863189697,-1.5964655876159668,0,XER,26
sigmoid,Regression,R2,RR,0.8410646286010742,0.9515770673751831,-6.276733875274658,0,XER,26
sigmoid,Regression,R2,G,0.9405795023441315,0.9513981938362122,-0.024030447006225586,2,XER,26
sigmoid,Regression,R2,S,0.924270970582962,0.9507142305374146,-1.8502938747406006,0,XER,26
sigmoid,Regression,R2,C,0.9385683714151383,0.9506012797355652,-0.1515580415725708,3,XER,26
sigmoid,Regression,R2,ELU,0.9250362994670868,0.9505056738853455,-2.2189600467681885,1,XER,26
sigmoid,Regression,R2,SELU,0.9268024218082428,0.9509753584861755,-4.0010175704956055,14,XER,26
sigmoid,Regression,R2,T,0.9447387883663177,0.9507370591163635,-0.20494353771209717,20,XER,26
sigmoid,Regression,R2,HT,0.9329959834814072,0.9519081115722656,-1.7890887260437012,0,XER,26
sigmoid,Regression,R2,ST,0.9385116585493087,0.9510354995727539,-0.19364845752716064,2,XER,26
sigmoid,Regression,R2,SS,-0.09635662937164306,1.1920928955078125e-07,-2.0894181728363037,0,XER,26
sigmoid,Regression,R2,HS,0.8612252235412597,0.9357267618179321,-2.8594253063201904,0,XER,26
sigmoid,Regression,R2,ReLU6,0.9415481363534928,0.9519516229629517,-0.19800341129302979,0,XER,26
sigmoid,Regression,R2,Sw,0.8824929406642914,0.9503547549247742,-6.568112850189209,0,XER,26
sigmoid,Regression,R2,LgS,0.8740480211973191,0.9504522085189819,-5.108757972717285,0,XER,26
sigmoid,Regression,R2,Si,0.8160576796531678,0.9506068229675293,-1.3777542114257812,0,XER,26
sigmoid,Regression,R2,Mish,0.9330058643817901,0.9511843919754028,-0.9160163402557373,2,XER,26
sigmoid,Regression,R2,U,-5.380511903918449e+20,0.15937310457229614,-1.9888272005036996e+22,0,XER,26
relu,Regression,R2,E,0.9901637513637542,0.9972153306007385,-0.20554709434509277,87,XER,48
relu,Regression,R2,XER,0.9852642815113067,0.997294008731842,-0.8712375164031982,379,XER,48
relu,Regression,R2,R,0.9523165997266769,0.9972188472747803,-0.9137589931488037,1,XER,48
relu,Regression,R2,LR,0.8838394792079926,0.9972464442253113,-0.550437331199646,9,XER,48
relu,Regression,R2,PR,0.966796172618866,0.9971498250961304,-0.8950419425964355,0,XER,48
relu,Regression,R2,RR,0.9827120065689087,0.9971939921379089,-0.4180690050125122,4,XER,48
relu,Regression,R2,G,0.9616456063985824,0.9972109794616699,-0.5854513645172119,11,XER,48
